股票代码,最新时间,当前价格,趋势代码,趋势名称,key_high,key_low,n_low,n_high,rally_high,rally_low,secondary_low,secondary_high,break_low,break_high
000156SZ,2026-03-27 15:00:00,7.37,down_natural,自然回升,10.01,6.93,7.68,7.43,8.25,8.07,7.7,9.0,7.45,9.35
000338SZ,2026-03-27 15:00:00,23.5,down_natural,自然回升,30.19,21.4,27.9,23.88,29.72,23.64,27.9,24.04,27.18,19.4
000333SZ,2026-03-27 15:00:00,74.78,down,下跌趋势,83.17,72.35,75.0,60.52,81.16,48.75,75.02,60.5,75.0,62.19
000166SZ,2026-03-27 15:00:00,4.73,down,下跌趋势,5.78,4.63,5.05,4.97,5.49,4.65,5.06,4.96,4.9,5.11
000404SZ,2026-03-27 15:00:00,7.05,up_secondary,次级回撤,8.12,6.71,5.74,7.42,7.74,6.95,6.43,7.4,7.08,7.55
000403SZ,2026-03-27 15:00:00,13.12,down,下跌趋势,26.0,12.69,24.1,14.76,25.79,13.08,24.11,14.5,23.5,19.13
000089SZ,2026-03-27 15:00:00,6.77,down_rally,回撤,7.42,6.16,6.81,7.34,7.3,6.49,6.82,7.33,6.61,7.38
000157SZ,2026-03-27 15:00:00,8.5,down_natural,自然回升,10.16,8.04,9.22,8.65,9.88,6.58,9.23,7.6,8.97,7.72
000014SZ,2026-03-27 15:00:00,15.34,down_secondary,次级回升,25.62,12.36,22.11,15.99,24.47,14.3,22.46,15.66,21.51,20.71
000402SZ,2026-03-27 15:00:00,2.58,down_natural,自然回升,3.45,2.46,2.93,2.61,3.25,2.67,2.94,2.67,2.86,2.98
000400SZ,2026-03-27 15:00:00,28.15,up_secondary,次级回撤,34.65,24.17,27.59,28.0,29.32,26.14,27.59,27.99,25.56,28.79
000401SZ,2026-03-27 15:00:00,4.87,down_secondary,次级回升,6.33,4.23,5.55,5.69,6.17,4.35,5.56,5.38,5.39,5.19
000407SZ,2026-03-27 15:00:00,4.94,down_natural,自然回升,6.19,4.6,5.15,4.95,5.7,4.9,5.28,5.08,5.0,5.86
000409SZ,2026-03-27 15:00:00,10.2,down_natural,自然回升,14.38,9.7,11.51,10.34,12.24,10.8,11.51,10.93,11.17,13.13
000421SZ,2026-03-27 15:00:00,6.9,down_natural,自然回升,8.18,6.31,6.85,6.92,7.53,6.62,6.86,7.41,6.65,7.73
000426SZ,2026-03-27 15:00:00,40.08,down_rally,回撤,60.47,35.85,46.87,41.8,52.32,38.42,46.88,39.29,45.52,52.94
