股票代码,错误原因
000018SZ,股票代码000018在沪深A股标准库中不存在
000023SZ,股票代码000023在沪深A股标准库中不存在
000040SZ,股票代码000040在沪深A股标准库中不存在
000046SZ,股票代码000046在沪深A股标准库中不存在
000150SZ,股票代码000150在沪深A股标准库中不存在
000413SZ,股票代码000413在沪深A股标准库中不存在
000005SZ,股票代码000005在沪深A股标准库中不存在
000038SZ,股票代码000038在沪深A股标准库中不存在
000416SZ,股票代码000416在沪深A股标准库中不存在
000502SZ,股票代码000502在沪深A股标准库中不存在
000540SZ,股票代码000540在沪深A股标准库中不存在
000585SZ,股票代码000585在沪深A股标准库中不存在
000587SZ,股票代码000587在沪深A股标准库中不存在
000584SZ,股票代码000584在沪深A股标准库中不存在
000611SZ,股票代码000611在沪深A股标准库中不存在
000613SZ,股票代码000613在沪深A股标准库中不存在
000606SZ,股票代码000606在沪深A股标准库中不存在
000616SZ,股票代码000616在沪深A股标准库中不存在
000622SZ,股票代码000622在沪深A股标准库中不存在
000627SZ,股票代码000627在沪深A股标准库中不存在
000662SZ,股票代码000662在沪深A股标准库中不存在
000687SZ,股票代码000687在沪深A股标准库中不存在
000667SZ,股票代码000667在沪深A股标准库中不存在
000673SZ,股票代码000673在沪深A股标准库中不存在
000760SZ,股票代码000760在沪深A股标准库中不存在
000780SZ,股票代码000780在沪深A股标准库中不存在
000671SZ,股票代码000671在沪深A股标准库中不存在
000666SZ,股票代码000666在沪深A股标准库中不存在
000861SZ,股票代码000861在沪深A股标准库中不存在
000918SZ,股票代码000918在沪深A股标准库中不存在
000851SZ,股票代码000851在沪深A股标准库中不存在
000836SZ,股票代码000836在沪深A股标准库中不存在
000806SZ,股票代码000806在沪深A股标准库中不存在
000732SZ,股票代码000732在沪深A股标准库中不存在
000835SZ,股票代码000835在沪深A股标准库中不存在
000961SZ,股票代码000961在沪深A股标准库中不存在
000982SZ,股票代码000982在沪深A股标准库中不存在
000971SZ,股票代码000971在沪深A股标准库中不存在
000976SZ,股票代码000976在沪深A股标准库中不存在
000996SZ,股票代码000996在沪深A股标准库中不存在
002002SZ,股票代码002002在沪深A股标准库中不存在
002013SZ,股票代码002013在沪深A股标准库中不存在
002071SZ,股票代码002071在沪深A股标准库中不存在
002087SZ,股票代码002087在沪深A股标准库中不存在
002089SZ,股票代码002089在沪深A股标准库中不存在
002113SZ,股票代码002113在沪深A股标准库中不存在
002118SZ,股票代码002118在沪深A股标准库中不存在
002147SZ,股票代码002147在沪深A股标准库中不存在
000001SH,市场错误: CSV标注为SH，实际为SZ
000007SH,市场错误: CSV标注为SH，实际为SZ
000009SH,市场错误: CSV标注为SH，实际为SZ
000006SH,市场错误: CSV标注为SH，实际为SZ
000011SH,市场错误: CSV标注为SH，实际为SZ
000012SH,市场错误: CSV标注为SH，实际为SZ
000008SH,市场错误: CSV标注为SH，实际为SZ
000016SH,市场错误: CSV标注为SH，实际为SZ
000026SH,市场错误: CSV标注为SH，实际为SZ
000021SH,市场错误: CSV标注为SH，实际为SZ
000010SH,市场错误: CSV标注为SH，实际为SZ
000017SH,市场错误: CSV标注为SH，实际为SZ
000030SH,市场错误: CSV标注为SH，实际为SZ
000002SH,市场错误: CSV标注为SH，实际为SZ
000025SH,市场错误: CSV标注为SH，实际为SZ
000019SH,市场错误: CSV标注为SH，实际为SZ
000039SH,市场错误: CSV标注为SH，实际为SZ
000020SH,市场错误: CSV标注为SH，实际为SZ
000027SH,市场错误: CSV标注为SH，实际为SZ
000028SH,市场错误: CSV标注为SH，实际为SZ
000018SH,股票代码000018在沪深A股标准库中不存在
000032SH,市场错误: CSV标注为SH，实际为SZ
000034SH,市场错误: CSV标注为SH，实际为SZ
000029SH,市场错误: CSV标注为SH，实际为SZ
000035SH,市场错误: CSV标注为SH，实际为SZ
000038SH,股票代码000038在沪深A股标准库中不存在
000031SH,市场错误: CSV标注为SH，实际为SZ
000042SH,市场错误: CSV标注为SH，实际为SZ
000033SH,股票代码000033在沪深A股标准库中不存在
000036SH,市场错误: CSV标注为SH，实际为SZ
000037SH,市场错误: CSV标注为SH，实际为SZ
000048SH,市场错误: CSV标注为SH，实际为SZ
000069SH,市场错误: CSV标注为SH，实际为SZ
000065SH,市场错误: CSV标注为SH，实际为SZ
000049SH,市场错误: CSV标注为SH，实际为SZ
000056SH,市场错误: CSV标注为SH，实际为SZ
000058SH,市场错误: CSV标注为SH，实际为SZ
000062SH,市场错误: CSV标注为SH，实际为SZ
000066SH,市场错误: CSV标注为SH，实际为SZ
000060SH,市场错误: CSV标注为SH，实际为SZ
000063SH,市场错误: CSV标注为SH，实际为SZ
000059SH,市场错误: CSV标注为SH，实际为SZ
000050SH,市场错误: CSV标注为SH，实际为SZ
000045SH,市场错误: CSV标注为SH，实际为SZ
000055SH,市场错误: CSV标注为SH，实际为SZ
000061SH,市场错误: CSV标注为SH，实际为SZ
000068SH,市场错误: CSV标注为SH，实际为SZ
000070SH,市场错误: CSV标注为SH，实际为SZ
000099SH,市场错误: CSV标注为SH，实际为SZ
000096SH,市场错误: CSV标注为SH，实际为SZ
000078SH,市场错误: CSV标注为SH，实际为SZ
000090SH,市场错误: CSV标注为SH，实际为SZ
000100SH,市场错误: CSV标注为SH，实际为SZ
000153SH,市场错误: CSV标注为SH，实际为SZ
000155SH,市场错误: CSV标注为SH，实际为SZ
000151SH,市场错误: CSV标注为SH，实际为SZ
000158SH,市场错误: CSV标注为SH，实际为SZ
000159SH,市场错误: CSV标注为SH，实际为SZ
000680SH,市场错误: CSV标注为SH，实际为SZ
000683SH,市场错误: CSV标注为SH，实际为SZ
000682SH,市场错误: CSV标注为SH，实际为SZ
000687SH,股票代码000687在沪深A股标准库中不存在
